SchoolID,SchoolName,FullName,SchoolName2,ISBE Name,Street Number,Street Direction,Street Name,City,State,ZIP,NCES ID,CPS Unit,ISBE ID,OracleID,Class,School Type,S_Type,School Category,Governance,Charter Type,Grade Structure,Attending Grades,ProgramTypes,Ward,Community Area Number,Community Area,IL Senate District,IL Rep District,US Congressional District,GeographicArea,Geographic Area Number,Cook County District,Census Block,Latitude,Longitude,Location
609708,Foreman,Edwin G Foreman High School,Foreman,Foreman High School,3235,N,LeClaire Ave,Chicago,IL,60641,170993000799,1330,150162990250013,46131,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,JROTC||CTE_CCA||,30,15,Portage Park,20,39,4,Albany Irving,27,12,170311510012004,41.6899513076,-87.6375354477,"(41.6899513075999, -87.6375354477)"
609709,Gage Park,Gage Park High School,Gage Park,Gage Park High School,5630,S,Rockwell St,Chicago,IL,60629,170993000809,1340,150162990250015,46141,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,AVID||JROTC||,16,63,Gage Park,1,1,3,McKinley Park,17,7,170318351002004,41.7697134174,-87.6371893712,"(41.7697134173999, -87.6371893711999)"
610558,Goode Acad,Sarah E. Goode STEM Academy,Goode Acad,Goode STEM Academy,7651,S,Homan Ave,Chicago,IL,60652,,9598,150162990250861,46611,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-10th,ECSS||STEM||,18,70,Ashburn,16,32,1,Ashburn,6,3,170317001001000,41.8955535607,-87.7543204085,"(41.8955535607, -87.7543204085)"
609769,"Graham,r",Ray Graham Training Center High School,"Graham,r",Graham  R Training Center,2347,S,Wabash Ave,Chicago,IL,60616,170993001076,1950,150162990253715,49101,CPS,Regular,"District, Special Ed.",HS,District,,HS,9th-12th,NA||,2,33,Near South Side,3,5,7,Loop,1,3,170318410001028,41.9603631728,-87.7646999296,"(41.9603631728, -87.7646999295999)"
610383,Greater Lawndale,Greater Lawndale High School For Social Justice,Greater Lawndale,School of Social Justice,3120,S,Kostner Ave,Chicago,IL,60623,170993005793,7600,150162990250835,55171,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,NA||,22,30,South Lawndale,11,21,4,Pilsen - Little Village,16,7,170318305001006,41.8045587817,-87.6244105627,"(41.8045587817, -87.6244105627)"
609694,Hancock,John Hancock College Preparatory High School,Hancock,Hancock College Preparatory,4034,W,56th St,Chicago,IL,60629,170993001980,1200,150162990250779,46021,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,NA||,13,62,West Elsdon,11,22,3,McKinley Park,17,7,170316203001002,41.7457867051,-87.6354462756,"(41.7457867051, -87.6354462756)"
609710,Harlan,John M Harlan Community Academy High School,Harlan,Harlan Community Academy,9652,S,Michigan Ave,Chicago,IL,60628,170993000851,1350,150162990250016,51021,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,Selective_Enrollment||Academic_Center||CTE_CCA||AVID||JROTC||Magnet_Cluster||Pre-Engineering||,6,49,Roseland,17,34,1,Chatham,12,4,170314905002004,41.9397961358,-87.754203288,"(41.9397961358, -87.7542032879999)"
609711,Harper,William Rainey Harper High School,Harper,Harper High School,6520,S,Wood St,Chicago,IL,60636,170993000852,1360,150162990250017,46151,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,CTE_CCA||AVID||JROTC||,15,67,West Englewood,3,6,7,Englewood,4,2,170316713001026,41.7910134089,-87.6889172815,"(41.7910134089, -87.6889172814999)"
609712,Hirsch,Emil G Hirsch Metropolitan High School,Hirsch,Hirsch Metropolitan High School,7740,S,Ingleside Ave,Chicago,IL,60619,170993000879,1380,150162990250019,47031,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,AVID||JROTC||CTE_Neighborhood||,8,69,Greater Grand Crossing,3,5,1,South Shore,11,3,170316915003000,41.7183727975,-87.6205868145,"(41.7183727975, -87.6205868145)"
609768,Hope,Hope College Preparatory High School,Hope,Hope College Prep High School,5515,S,Lowe Ave,Chicago,IL,60621,170993004266,1940,150162990250799,49091,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,AVID||CTE_Neighborhood||,3,68,Englewood,3,6,7,Englewood,4,2,170318347003007,41.8526670963,-87.6636957483,"(41.8526670963, -87.6636957483)"
609741,Hubbard,Gurdon S Hubbard High School,Hubbard,Hubbard High School,6200,S,Hamlin Ave,Chicago,IL,60629,170993000889,1670,150162990250020,46341,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,IB||JROTC||CTE_Neighborhood||,13,65,West Lawn,11,22,3,Chicago Lawn,8,7,170316501003011,41.6881643781,-87.5375700911,"(41.6881643780999, -87.5375700910999)"
609713,Hyde Park,Hyde Park Academy High School,Hyde Park,Hyde Park Academy High School,6220,S,Stony Island Ave,Chicago,IL,60637,170993000893,1390,150162990250021,46171,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,IB_Wall_to_Wall||AVID||JROTC||CTE_IBCC||,5,42,Woodlawn,13,25,1,Woodlawn,13,3,170314201001023,41.7751246566,-87.6690526444,"(41.7751246565999, -87.6690526443999)"
610384,Infinity,Infinity Math Science and Technology High School,Infinity,Infinity Math  Science & Tech,3120,S,Kostner Ave,Chicago,IL,60623,170993005795,7680,150162990250837,55151,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,AVID||,22,30,South Lawndale,11,21,4,Pilsen - Little Village,16,7,170318305001006,41.8045587817,-87.6244105627,"(41.8045587817, -87.6244105627)"
400104,Instituto Acad  Health,Instituto Health Sciences Career Academy,Instituto Acad Chtr Health,Instituto Health Science Acad,2520,S,Western Ave,Chicago,IL,60608,,8026,15016299025012C,63131,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,HS,9th-12th,NA||,25,31,Lower West Side,1,2,4,Pilsen - Little Village,16,2,170318413002016,41.8459653309,-87.68554722,"(41.8459653309, -87.68554722)"
400148,Instituto Justice  Acad,Instituto Justice and Leadership Acad Charter,Instituto Justice Chtr Acad,IJLA Charter High School,2570,S,Blue Island Blvd,Chicago,IL,60608,170993006238,9065,15016299025020C,63132,Option,Charter -- Alt. Multi-site,Alternative/Charter,HS,Charter,Replicating Alternative Charter,HS,10th-12th,NA||,25,31,Lower West Side,1,2,4,Pilsen - Little Village,16,7,170318413003020,41.84542162,-87.6840481343,"(41.84542162, -87.6840481342999)"
400162,Intrinsic Schools,Intrinsic Charter,Intrinsic Schools,,17,N,State St,Chicago,IL,60602,,9619,,,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,HS,9th,NA||,42,32,Loop,3,5,7,Loop,1,2,170313201001017,41.6793190033,-87.6179312741,"(41.6793190033, -87.6179312741)"
609678,Jones,William Jones College Preparatory High School,Jones,Jones College Prep High School,700,S,State St,Chicago,IL,60605,170993000990,1060,150162990250533,47021,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,Selective_Enrollment||CTE_CCA||,2,32,Loop,3,6,7,Loop,1,2,170318390004004,41.7371464977,-87.5732667997,"(41.7371464977, -87.5732667996999)"
609764,Juarez,Benito Juarez Community Academy High School,Juarez,Juarez Community Academy,2150,S,Laflin St,Chicago,IL,60608,170993000722,1890,150162990250767,46421,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,CTE_CCA||JROTC||IB,25,31,Lower West Side,1,2,4,Pilsen - Little Village,16,7,170313107001020,41.7074460748,-87.6030643545,"(41.7074460748, -87.6030643545)"
609762,Julian,Percy L Julian High School,Julian,Julian High School,10330,S,Elizabeth St,Chicago,IL,60643,170993000895,1870,150162990250763,46401,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,CTE_CCA||AVID||,21,73,Washington Heights,14,27,1,Beverly,3,4,170317307002017,41.6562905594,-87.5905838017,"(41.6562905593999, -87.5905838017)"
